Country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
 Saint Martin,3,4,5,5,6,7,8,16,31,33,29,28,31,32,33,34,34,34,35,35,35
 Saint Pierre and Miquelon,5,5,5,6,6,6,6,7,7,7,7,7,6,6,6,6,5,5,5,4,4
 Saint Vincent and the Grenadines,67,76,82,86,88,93,99,104,108,109,108,107,105,103,102,101,100,99,97,96,94
 Samoa,82,94,111,128,143,151,160,161,163,169,177,185,193,198,204,211,218,225,232,239,246
 San Marino,13,14,16,18,20,20,22,23,24,25,28,30,32,34,35,36,36,37,37,36,36
 São Tomé and Príncipe,60,61,64,69,74,82,95,105,116,128,141,158,176,195,212,228,244,260,277,294,310
 Saudi Arabia,3860,4244,4719,5328,6110,7208,10022,13331,16061,18756,21312,23643,25732,27753,29819,31878,33826,35615,37250,38782,40251
 Senegal,2654,2927,3270,3744,4318,4990,5612,6379,7348,8379,9470,10805,12324,13976,15737,17581,19486,21430,23390,25337,27245
 Serbia,5957,6314,6659,6959,7249,7432,7588,7720,7787,7692,7605,7503,7345,7177,7013,6846,6673,6487,6288,6080,5870
 Seychelles,33,36,42,48,55,60,64,68,71,75,80,84,89,93,96,99,101,103,103,102,101
 Sierra Leone,2088,2233,2397,2582,2790,3031,3336,3704,4229,3882,3810,4709,5246,5880,6625,7501,8501,9611,10831,12161,13594
 Singapore,1023,1306,1647,1887,2075,2263,2414,2750,3048,3567,4064,4606,5141,5675,6210,6733,7223,7661,8036,8351,8610
 Sint Maarten,3,3,3,5,7,11,13,20,30,32,31,34,38,41,44,47,49,51,52,53,54
 Slovakia,3464,3727,3995,4370,4524,4730,4966,5145,5263,5362,5401,5408,5427,5446,5441,5406,5335,5238,5125,4997,4851
 Slovenia,1468,1518,1558,1621,1676,1723,1834,1915,1992,2003,2011,2012,2004,1984,1952,1908,1856,1798,1736,1669,1597
 Solomon Islands,107,115,127,144,164,194,231,273,322,376,434,496,560,623,686,748,808,866,921,971,1016
 Somalia,2438,2674,2956,3283,3667,4128,5794,6459,6693,6401,7501,8791,9768,10617,11758,13275,15041,16883,18769,20684,22627
 South Africa,13596,15369,17417,19899,22740,25816,29252,34255,38504,42148,44914,48105,51123,53676,56464,59109,61496,63603,65494,67163,68529
 South Korea,20846,21552,24785,28706,32242,35282,38125,40807,42870,45106,46839,48006,48637,49116,49362,49373,49003,48173,46912,45284,43369
 South Sudan,2707,2757,2809,2862,2915,3396,4668,5320,4960,5193,6297,7634,9585,12043,14559,16616,18682,20784,22866,24892,26844
 Spain,28063,29319,30642,32085,33877,35564,37489,38535,39351,39765,40590,43705,46506,48147,50016,51416,52446,53139,53451,53271,52491
 Sri Lanka,7534,8694,9914,11261,12619,13780,15056,15848,16862,17942,19042,20103,21084,22054,22890,23564,24120,24584,24935,25133,25167
 Sudan,6468,7391,8447,9653,11031,12708,14784,17507,21130,24517,27068,29884,32997,36109,41131,42942,46338,49857,53188,56279,59130
 Suriname,209,241,285,337,373,363,355,395,417,428,465,504,546,580,610,637,662,683,700,712,718
 Eswatini,278,312,352,400,456,521,612,722,882,1004,1144,1259,1355,1436,1514,1586,1651,1708,1757,1798,1835
 Sweden,7015,7263,7481,7734,8043,8193,8311,8357,8601,8878,8925,9083,9433,9802,10203,10588,10914,11190,11458,11734,12012
  Switzerland,4695,4981,5363,5944,6268,6404,6386,6568,6844,7165,7278,7449,7770,8122,8404,8666,8894,9085,9248,9398,9540
 Syria,3496,3938,4531,5323,6253,7398,8740,10479,12534,14487,16515,18615,21766,17065,22347,24538,26090,27563,28938,30173,31226
 Taiwan,7982,9486,11210,12978,14599,16123,17849,19338,20279,21291,22185,22728,23127,23416,23604,23643,23508,23149,22550,21759,20835
 Tajikistan,1531,1781,2081,2511,2939,3449,3967,4569,5273,5679,6230,6815,7488,8192,8874,9511,10104,10668,11203,11697,12133
 Tanzania,7935,8971,10260,11871,13807,16148,18654,21485,24805,29065,33194,38487,44289,51046,58553,68905,76071,85946,96400,107301,118587
 Thailand,20042,23452,27513,32062,37091,42273,47026,51759,56097,59818,62902,65113,66721,67977,68978,69589,69751,69447,68696,67546,66064
 Gambia,272,307,352,412,485,566,653,773,952,1162,1357,1548,1756,1968,2174,2370,2555,2731,2900,3060,3211
 Togo,1172,1299,1456,1648,1965,2267,2626,3130,3721,4203,4992,5715,6588,7553,8609,9742,10953,12246,13622,15074,16584
 Tonga,46,55,64,75,84,90,92,95,97,98,101,104,106,107,107,105,103,99,94,88,79
 Trinidad and Tobago,633,721,842,940,956,1007,1091,1190,1256,1265,1252,1237,1229,1223,1209,1184,1152,1118,1086,1055,1024
 Tunisia,3518,3847,4150,4566,5099,5704,6444,7364,8208,8947,9508,10013,10526,11038,11495,11850,12087,12223,12285,12277,12181
 Turkey,21122,24145,28218,31951,35759,40530,45048,50989,56545,61296,65970,70465,74687,79415,82018,84545,86671,88279,89283,89626,89291
 Turkmenistan,1205,1348,1585,1883,2182,2524,2876,3241,3659,4079,4386,4665,4941,5232,5929,6011,6027,6210,6364,6498,6608
 Turks and Caicos Islands,6,6,6,6,6,7,8,10,12,15,20,28,44,51,56,62,67,72,76,81,85
 Tuvalu,5,5,6,6,6,7,8,9,10,10,11,11,11,11,12,12,13,13,13,14,14
 Uganda,5522,6318,7262,8390,9716,10761,12020,13811,16549,19641,22917,26917,31508,37102,43518,50693,58489,66782,75460,84402,93477
 Ukraine,36775,39369,42645,45235,47236,48974,50047,50945,51623,51248,49014,47003,45769,44430,43923,42888,41699,40538,39428,38325,37149
 United Arab Emirates,72,83,104,144,250,523,1001,1364,1827,2458,3220,4087,4976,5780,6496,7064,7484,7773,7949,8025,8019
